date,close
1905,2
1908,1
1910,3
1911,1
1912,1
1913,4
1914,2
1915,3
1920,1
1940,1
1945,2
1946,1
1950,1
1954,1
1955,1
1956,1
1958,1
1959,1
1960,1
1964,1
1965,2
1966,7
1968,1
1969,1
1970,2
1971,1
1972,2
1973,5
1974,3
1975,2
1976,2
1977,3
1978,2
1979,6
1980,5
1981,1
1982,5
1983,1
1984,4
1985,8
1986,2
1987,6
1988,6
1989,12
1990,17
1991,12
1992,12
1993,23
1994,19
1995,27
1996,34
1997,40
1998,74
1999,124
2000,282
2001,343
2002,368
2003,490
2004,692
2005,3272
2006,127887
2007,120554
2008,117375
2009,106018
2010,105643
2011,107206
2012,111798
2013,111286
2014,106849
2015,102657
