year,variableA,variableB,variableC,variableD,variableE
2006,704.5665266,1243.652581,1369.124059,2876.914102,1385.836537
2007,718.4366289,1154.491176,1275.165406,2656.270305,1330.031379
2008,700.2964924,1115.31067,1222.753833,2604.693011,1291.370434
2009,597.4823582,1001.213855,1088.114994,2319.68797,1205.512246
2010,627.4952358,1032.608696,1072.461459,2373.550385,1242.099962
2011,650.8144733,1051.037106,1029.35513,2439.222968,1243.260032
2012,726.3089489,1074.952853,1069.463869,2535.966648,1258.046649
2013,722.2210466,1045.377567,1059.920772,2485.27045,1269.032733
2014,680.7507273,987.4273412,993.3987103,2385.074213,1237.202199
2015,668.4114481,900.1795486,987.4085031,2178.026659,1257.70751
